scenario,dest,year,sex,pop
igc,FIN,2045,m,2775840
igc,FIN,2050,f,2861108
igc,FIN,2050,m,2798495
igc,FRA,2015,f,34146152
igc,FRA,2015,m,32029914
igc,FRA,2020,f,35096226
igc,FRA,2020,m,33009394
igc,FRA,2025,f,35942730
igc,FRA,2025,m,33831702
igc,FRA,2030,f,36850717
igc,FRA,2030,m,34710801
igc,FRA,2035,f,37824519
igc,FRA,2035,m,35642678
igc,FRA,2040,f,38812065
igc,FRA,2040,m,36591054
igc,FRA,2045,f,39760499
igc,FRA,2045,m,37540920
igc,FRA,2050,f,40634505
igc,FRA,2050,m,38469347
igc,GBR,2015,f,32685700
igc,GBR,2015,m,31695319
igc,GBR,2020,f,33627855
igc,GBR,2020,m,32749861
igc,GBR,2025,f,34354938
igc,GBR,2025,m,33557342
igc,GBR,2030,f,35030564
igc,GBR,2030,m,34245392
igc,GBR,2035,f,35706226
igc,GBR,2035,m,34906495
igc,GBR,2040,f,36449970
igc,GBR,2040,m,35628607
igc,GBR,2045,f,37310599
igc,GBR,2045,m,36470902
igc,GBR,2050,f,38229600
igc,GBR,2050,m,37378024
igc,GRC,2015,f,5562692
igc,GRC,2015,m,5238955
igc,GRC,2020,f,5500718
igc,GRC,2020,m,5182707
igc,GRC,2025,f,5412179
igc,GRC,2025,m,5086522
igc,GRC,2030,f,5308570
igc,GRC,2030,m,4984695
igc,GRC,2035,f,5202009
igc,GRC,2035,m,4884772
igc,GRC,2040,f,5100745
igc,GRC,2040,m,4792248
igc,GRC,2045,f,5001490
igc,GRC,2045,m,4704803
igc,GRC,2050,f,4898304
igc,GRC,2050,m,4616869
igc,HRV,2015,f,2163467
igc,HRV,2015,m,2014803
igc,HRV,2020,f,2115924
igc,HRV,2020,m,1970264
igc,HRV,2025,f,2051131
igc,HRV,2025,m,1917624
igc,HRV,2030,f,1990574
igc,HRV,2030,m,1865424
igc,HRV,2035,f,1932618
igc,HRV,2035,m,1813038
igc,HRV,2040,f,1874031
igc,HRV,2040,m,1759430
igc,HRV,2045,f,1815296
igc,HRV,2045,m,1707357
igc,HRV,2050,f,1756966
igc,HRV,2050,m,1657704
igc,HUN,2015,f,5138803
igc,HUN,2015,m,4677492
igc,HUN,2020,f,5015701
igc,HUN,2020,m,4574871
igc,HUN,2025,f,4869641
igc,HUN,2025,m,4453094
igc,HUN,2030,f,4721508
igc,HUN,2030,m,4327069
igc,HUN,2035,f,4569918
igc,HUN,2035,m,4196733
igc,HUN,2040,f,4416154
igc,HUN,2040,m,4064173
igc,HUN,2045,f,4263506
igc,HUN,2045,m,3931946
igc,HUN,2050,f,4115361
igc,HUN,2050,m,3800298
igc,IRL,2015,f,2270679
igc,IRL,2015,m,2220383
igc,IRL,2020,f,2424224
igc,IRL,2020,m,2370507
igc,IRL,2025,f,2563495
igc,IRL,2025,m,2507119
igc,IRL,2030,f,2702423
igc,IRL,2030,m,2642031
igc,IRL,2035,f,2838956
igc,IRL,2035,m,2774572
igc,IRL,2040,f,2976559
igc,IRL,2040,m,2909406
igc,IRL,2045,f,3117116
igc,IRL,2045,m,3048718
igc,IRL,2050,f,3256854
igc,IRL,2050,m,3188464
igc,ITA,2015,f,31142823
igc,ITA,2015,m,29347293
igc,ITA,2020,f,30947738
igc,ITA,2020,m,29381361
igc,ITA,2025,f,30595041
igc,ITA,2025,m,29146181
igc,ITA,2030,f,30191426
igc,ITA,2030,m,28803111
igc,ITA,2035,f,29768703
igc,ITA,2035,m,28428119
igc,ITA,2040,f,29347333
igc,ITA,2040,m,28044410
igc,ITA,2045,f,28914849
igc,ITA,2045,m,27647595
igc,ITA,2050,f,28428699
igc,ITA,2050,m,27189646
igc,LTU,2015,f,1572907
igc,LTU,2015,m,1343858
igc,LTU,2020,f,1544011
igc,LTU,2020,m,1317110
igc,LTU,2025,f,1511296
igc,LTU,2025,m,1293333
igc,LTU,2030,f,1478747
igc,LTU,2030,m,1271937
igc,LTU,2035,f,1447556
igc,LTU,2035,m,1251069
igc,LTU,2040,f,1418568
igc,LTU,2040,m,1231477
igc,LTU,2045,f,1393093
igc,LTU,2045,m,1215851
igc,LTU,2050,f,1369160
igc,LTU,2050,m,1202302
igc,LUX,2015,f,252484
igc,LUX,2015,m,256132
igc,LUX,2020,f,285268
igc,LUX,2020,m,291295
igc,LUX,2025,f,311635
igc,LUX,2025,m,318689
igc,LUX,2030,f,339459
igc,LUX,2030,m,346838
igc,LUX,2035,f,369011
igc,LUX,2035,m,376086
igc,LUX,2040,f,400340
igc,LUX,2040,m,406738
igc,LUX,2045,f,433757
igc,LUX,2045,m,439205
igc,LUX,2050,f,467703
igc,LUX,2050,m,472250
igc,LVA,2015,f,1070965
igc,LVA,2015,m,907266
igc,LVA,2020,f,1049394
igc,LVA,2020,m,895238
igc,LVA,2025,f,1022984
igc,LVA,2025,m,882960
igc,LVA,2030,f,998672
igc,LVA,2030,m,871735
igc,LVA,2035,f,978969
igc,LVA,2035,m,863304
igc,LVA,2040,f,961542
igc,LVA,2040,m,856216
igc,LVA,2045,f,946162
igc,LVA,2045,m,850553
igc,LVA,2050,f,930453
igc,LVA,2050,m,844339
igc,MLT,2015,f,217567
igc,MLT,2015,m,217845
igc,MLT,2020,f,232297
igc,MLT,2020,m,232828
igc,MLT,2025,f,243096
igc,MLT,2025,m,244014
igc,MLT,2030,f,253235
igc,MLT,2030,m,255609
igc,MLT,2035,f,263198
igc,MLT,2035,m,267912
igc,MLT,2040,f,272763
igc,MLT,2040,m,280978
igc,MLT,2045,f,282970
igc,MLT,2045,m,295564
igc,MLT,2050,f,293539
igc,MLT,2050,m,311325
igc,NLD,2015,f,8314019
igc,NLD,2015,m,8167538
igc,NLD,2020,f,8477249
igc,NLD,2020,m,8365301
igc,NLD,2025,f,8597756
igc,NLD,2025,m,8566091
igc,NLD,2030,f,8742135
igc,NLD,2030,m,8749888
igc,NLD,2035,f,8885387
igc,NLD,2035,m,8900629
igc,NLD,2040,f,9015871
igc,NLD,2040,m,9019362
igc,NLD,2045,f,9135467
igc,NLD,2045,m,9116503
igc,NLD,2050,f,9247596
igc,NLD,2050,m,9203353
igc,POL,2015,f,19120105
igc,POL,2015,m,17903945
igc,POL,2020,f,18923040
igc,POL,2020,m,17674895
igc,POL,2025,f,18669534
igc,POL,2025,m,17367044
igc,POL,2030,f,18334268
igc,POL,2030,m,16975816
igc,POL,2035,f,17938755
igc,POL,2035,m,16540118
igc,POL,2040,f,17483853
igc,POL,2040,m,16077449
igc,POL,2045,f,16977261
igc,POL,2045,m,15598005
igc,POL,2050,f,16435671
igc,POL,2050,m,15101970
igc,PRT,2015,f,5436353
igc,PRT,2015,m,4897669
igc,PRT,2020,f,5367588
igc,PRT,2020,m,4840156
igc,PRT,2025,f,5282714
igc,PRT,2025,m,4759498
igc,PRT,2030,f,5197935
igc,PRT,2030,m,4678233
igc,PRT,2035,f,5118698
igc,PRT,2035,m,4602946
