scenario,dest,year,sex,edu,pop
benchmark,DEU,2045,m,5,15461773
benchmark,DEU,2045,m,6,15956561
benchmark,DEU,2050,f,1,188413
benchmark,DEU,2050,f,2,128282
benchmark,DEU,2050,f,3,1498882
benchmark,DEU,2050,f,4,3555153
benchmark,DEU,2050,f,5,14083507
benchmark,DEU,2050,f,6,18121279
benchmark,DEU,2050,m,1,143264
benchmark,DEU,2050,m,2,120302
benchmark,DEU,2050,m,3,1440144
benchmark,DEU,2050,m,4,3275962
benchmark,DEU,2050,m,5,14903841
benchmark,DEU,2050,m,6,16385174
benchmark,DNK,2015,f,1,468982
benchmark,DNK,2015,f,2,6295
benchmark,DNK,2015,f,3,26398
benchmark,DNK,2015,f,4,772763
benchmark,DNK,2015,f,5,822519
benchmark,DNK,2015,f,6,619806
benchmark,DNK,2015,m,1,492833
benchmark,DNK,2015,m,2,5440
benchmark,DNK,2015,m,3,21647
benchmark,DNK,2015,m,4,709805
benchmark,DNK,2015,m,5,940153
benchmark,DNK,2015,m,6,523468
benchmark,DNK,2020,f,1,329215
benchmark,DNK,2020,f,2,10028
benchmark,DNK,2020,f,3,31769
benchmark,DNK,2020,f,4,691912
benchmark,DNK,2020,f,5,929443
benchmark,DNK,2020,f,6,793549
benchmark,DNK,2020,m,1,341992
benchmark,DNK,2020,m,2,8662
benchmark,DNK,2020,m,3,26037
benchmark,DNK,2020,m,4,639939
benchmark,DNK,2020,m,5,1069116
benchmark,DNK,2020,m,6,669321
benchmark,DNK,2025,f,1,178078
benchmark,DNK,2025,f,2,14657
benchmark,DNK,2025,f,3,38479
benchmark,DNK,2025,f,4,696912
benchmark,DNK,2025,f,5,1021621
benchmark,DNK,2025,f,6,900267
benchmark,DNK,2025,m,1,179466
benchmark,DNK,2025,m,2,12980
benchmark,DNK,2025,m,3,32292
benchmark,DNK,2025,m,4,688522
benchmark,DNK,2025,m,5,1144295
benchmark,DNK,2025,m,6,755250
benchmark,DNK,2030,f,1,34392
benchmark,DNK,2030,f,2,19795
benchmark,DNK,2030,f,3,45650
benchmark,DNK,2030,f,4,649429
benchmark,DNK,2030,f,5,1110850
benchmark,DNK,2030,f,6,1061491
benchmark,DNK,2030,m,1,25513
benchmark,DNK,2030,m,2,17901
benchmark,DNK,2030,m,3,38963
benchmark,DNK,2030,m,4,667072
benchmark,DNK,2030,m,5,1237676
benchmark,DNK,2030,m,6,890615
benchmark,DNK,2035,f,1,38848
benchmark,DNK,2035,f,2,24437
benchmark,DNK,2035,f,3,49779
benchmark,DNK,2035,f,4,587962
benchmark,DNK,2035,f,5,1129085
benchmark,DNK,2035,f,6,1168074
benchmark,DNK,2035,m,1,27264
