scenario,dest,year,nativity,pop
benchmark,SVN,2040,eu,57683
benchmark,SVN,2040,native,1762932
benchmark,SVN,2040,non-eu,278792
benchmark,SVN,2045,eu,55553
benchmark,SVN,2045,native,1747579
benchmark,SVN,2045,non-eu,308030
benchmark,SVN,2050,eu,53296
benchmark,SVN,2050,native,1732845
benchmark,SVN,2050,non-eu,342272
benchmark,SWE,2015,eu,493745
benchmark,SWE,2015,native,7933962
benchmark,SWE,2015,non-eu,940974
benchmark,SWE,2020,eu,478462
benchmark,SWE,2020,native,8097438
benchmark,SWE,2020,non-eu,1109113
benchmark,SWE,2025,eu,457894
benchmark,SWE,2025,native,8258495
benchmark,SWE,2025,non-eu,1299275
benchmark,SWE,2030,eu,432971
benchmark,SWE,2030,native,8405114
benchmark,SWE,2030,non-eu,1519248
benchmark,SWE,2035,eu,406991
benchmark,SWE,2035,native,8555533
benchmark,SWE,2035,non-eu,1774145
benchmark,SWE,2040,eu,380181
benchmark,SWE,2040,native,8748970
benchmark,SWE,2040,non-eu,2068846
benchmark,SWE,2045,eu,353148
benchmark,SWE,2045,native,9003076
benchmark,SWE,2045,non-eu,2414118
benchmark,SWE,2050,eu,326507
benchmark,SWE,2050,native,9313093
benchmark,SWE,2050,non-eu,2820384
igc,AUT,2015,eu,652374
igc,AUT,2015,native,7100326
igc,AUT,2015,non-eu,740855
igc,AUT,2020,eu,645495
igc,AUT,2020,native,7127140
igc,AUT,2020,non-eu,855022
igc,AUT,2025,eu,629097
igc,AUT,2025,native,7129007
igc,AUT,2025,non-eu,945989
igc,AUT,2030,eu,605367
igc,AUT,2030,native,7105317
igc,AUT,2030,non-eu,1026648
igc,AUT,2035,eu,575670
igc,AUT,2035,native,7059562
igc,AUT,2035,non-eu,1099538
igc,AUT,2040,eu,543668
igc,AUT,2040,native,7004892
igc,AUT,2040,non-eu,1167861
igc,AUT,2045,eu,509664
igc,AUT,2045,native,6950061
igc,AUT,2045,non-eu,1234292
igc,AUT,2050,eu,473458
igc,AUT,2050,native,6888629
igc,AUT,2050,non-eu,1294781
igc,BEL,2015,eu,807659
igc,BEL,2015,native,9105748
igc,BEL,2015,non-eu,805993
igc,BEL,2020,eu,790249
igc,BEL,2020,native,9295647
igc,BEL,2020,non-eu,970552
igc,BEL,2025,eu,765903
igc,BEL,2025,native,9476984
igc,BEL,2025,non-eu,1110809
igc,BEL,2030,eu,734875
igc,BEL,2030,native,9639317
igc,BEL,2030,non-eu,1253429
igc,BEL,2035,eu,697679
igc,BEL,2035,native,9801236
igc,BEL,2035,non-eu,1400258
igc,BEL,2040,eu,655433
igc,BEL,2040,native,9973727
igc,BEL,2040,non-eu,1547934
igc,BEL,2045,eu,610307
igc,BEL,2045,native,10148880
igc,BEL,2045,non-eu,1701604
igc,BEL,2050,eu,563493
igc,BEL,2050,native,10315124
igc,BEL,2050,non-eu,1838974
igc,BGR,2015,eu,42979
igc,BGR,2015,native,7077389
igc,BGR,2015,non-eu,75379
igc,BGR,2020,eu,43163
igc,BGR,2020,native,6706978
igc,BGR,2020,non-eu,105992
igc,BGR,2025,eu,42916
igc,BGR,2025,native,6350207
igc,BGR,2025,non-eu,120622
igc,BGR,2030,eu,42444
igc,BGR,2030,native,6009553
igc,BGR,2030,non-eu,135840
igc,BGR,2035,eu,42153
igc,BGR,2035,native,5695150
igc,BGR,2035,non-eu,151648
igc,BGR,2040,eu,41546
igc,BGR,2040,native,5410902
igc,BGR,2040,non-eu,167138
igc,BGR,2045,eu,40930
igc,BGR,2045,native,5153846
igc,BGR,2045,non-eu,183056
igc,BGR,2050,eu,39699
igc,BGR,2050,native,4917016
igc,BGR,2050,non-eu,198279
igc,CYP,2015,eu,92771
igc,CYP,2015,native,660028
igc,CYP,2015,non-eu,77776
igc,CYP,2020,eu,97889
igc,CYP,2020,native,667507
igc,CYP,2020,non-eu,116555
