scenario,dest,year,sex,nativity,pop
benchmark,FIN,2020,m,non-eu,94038
benchmark,FIN,2025,f,eu,53990
benchmark,FIN,2025,f,native,2641893
benchmark,FIN,2025,f,non-eu,108305
benchmark,FIN,2025,m,eu,60939
benchmark,FIN,2025,m,native,2552996
benchmark,FIN,2025,m,non-eu,116549
benchmark,FIN,2030,f,eu,54112
benchmark,FIN,2030,f,native,2645091
benchmark,FIN,2030,f,non-eu,133138
benchmark,FIN,2030,m,eu,60619
benchmark,FIN,2030,m,native,2551507
benchmark,FIN,2030,m,non-eu,143532
benchmark,FIN,2035,f,eu,53525
benchmark,FIN,2035,f,native,2641434
benchmark,FIN,2035,f,non-eu,161858
benchmark,FIN,2035,m,eu,59507
benchmark,FIN,2035,m,native,2544366
benchmark,FIN,2035,m,non-eu,175657
benchmark,FIN,2040,f,eu,52243
benchmark,FIN,2040,f,native,2632287
benchmark,FIN,2040,f,non-eu,195461
benchmark,FIN,2040,m,eu,57713
benchmark,FIN,2040,m,native,2536444
benchmark,FIN,2040,m,non-eu,214181
benchmark,FIN,2045,f,eu,50460
benchmark,FIN,2045,f,native,2622777
benchmark,FIN,2045,f,non-eu,235174
benchmark,FIN,2045,m,eu,55426
benchmark,FIN,2045,m,native,2534224
benchmark,FIN,2045,m,non-eu,260445
benchmark,FIN,2050,f,eu,48165
benchmark,FIN,2050,f,native,2620741
benchmark,FIN,2050,f,non-eu,281793
benchmark,FIN,2050,m,eu,52748
benchmark,FIN,2050,m,native,2542857
benchmark,FIN,2050,m,non-eu,315421
benchmark,FRA,2015,f,eu,1185416
benchmark,FRA,2015,f,native,30214131
benchmark,FRA,2015,f,non-eu,2746605
benchmark,FRA,2015,m,eu,1021740
benchmark,FRA,2015,m,native,28365684
benchmark,FRA,2015,m,non-eu,2642490
benchmark,FRA,2020,f,eu,1122705
benchmark,FRA,2020,f,native,30823929
benchmark,FRA,2020,f,non-eu,3149592
benchmark,FRA,2020,m,eu,959062
benchmark,FRA,2020,m,native,29099739
benchmark,FRA,2020,m,non-eu,2950593
benchmark,FRA,2025,f,eu,1056440
benchmark,FRA,2025,f,native,31416278
benchmark,FRA,2025,f,non-eu,3612281
benchmark,FRA,2025,m,eu,892126
benchmark,FRA,2025,m,native,29757784
benchmark,FRA,2025,m,non-eu,3324236
benchmark,FRA,2030,f,eu,986958
benchmark,FRA,2030,f,native,32081647
benchmark,FRA,2030,f,non-eu,4158713
benchmark,FRA,2030,m,eu,823159
benchmark,FRA,2030,m,native,30474233
benchmark,FRA,2030,m,non-eu,3787132
benchmark,FRA,2035,f,eu,917299
benchmark,FRA,2035,f,native,32838808
benchmark,FRA,2035,f,non-eu,4762635
benchmark,FRA,2035,m,eu,755666
benchmark,FRA,2035,m,native,31261627
benchmark,FRA,2035,m,non-eu,4305986
benchmark,FRA,2040,f,eu,846177
benchmark,FRA,2040,f,native,33645880
benchmark,FRA,2040,f,non-eu,5418316
benchmark,FRA,2040,m,eu,689384
benchmark,FRA,2040,m,native,32094253
benchmark,FRA,2040,m,non-eu,4872850
benchmark,FRA,2045,f,eu,773254
benchmark,FRA,2045,f,native,34453050
benchmark,FRA,2045,f,non-eu,6137558
benchmark,FRA,2045,m,eu,624617
benchmark,FRA,2045,m,native,32957167
benchmark,FRA,2045,m,non-eu,5502475
benchmark,FRA,2050,f,eu,700078
benchmark,FRA,2050,f,native,35270744
benchmark,FRA,2050,f,non-eu,6930543
benchmark,FRA,2050,m,eu,562409
benchmark,FRA,2050,m,native,33871733
benchmark,FRA,2050,m,non-eu,6208057
benchmark,GBR,2015,f,eu,1466974
benchmark,GBR,2015,f,native,28518054
benchmark,GBR,2015,f,non-eu,2700672
benchmark,GBR,2015,m,eu,1255356
benchmark,GBR,2015,m,native,27895103
benchmark,GBR,2015,m,non-eu,2544860
benchmark,GBR,2020,f,eu,1413024
benchmark,GBR,2020,f,native,28964043
benchmark,GBR,2020,f,non-eu,3250788
benchmark,GBR,2020,m,eu,1259277
benchmark,GBR,2020,m,native,28521368
benchmark,GBR,2020,m,non-eu,2969216
benchmark,GBR,2025,f,eu,1345751
benchmark,GBR,2025,f,native,29325506
benchmark,GBR,2025,f,non-eu,3886420
benchmark,GBR,2025,m,eu,1240140
benchmark,GBR,2025,m,native,29004273
benchmark,GBR,2025,m,non-eu,3474959
benchmark,GBR,2030,f,eu,1267577
benchmark,GBR,2030,f,native,29670913
benchmark,GBR,2030,f,non-eu,4626820
benchmark,GBR,2030,m,eu,1199595
benchmark,GBR,2030,m,native,29410336
benchmark,GBR,2030,m,non-eu,4082823
benchmark,GBR,2035,f,eu,1187166
benchmark,GBR,2035,f,native,30029088
benchmark,GBR,2035,f,non-eu,5492514
benchmark,GBR,2035,m,eu,1147351
benchmark,GBR,2035,m,native,29812135
benchmark,GBR,2035,m,non-eu,4811640
benchmark,GBR,2040,f,eu,1105710
benchmark,GBR,2040,f,native,30472459
benchmark,GBR,2040,f,non-eu,6511542
benchmark,GBR,2040,m,eu,1086619
benchmark,GBR,2040,m,native,30303095
benchmark,GBR,2040,m,non-eu,5686159
benchmark,GBR,2045,f,eu,1022727
benchmark,GBR,2045,f,native,31060940
benchmark,GBR,2045,f,non-eu,7696195
benchmark,GBR,2045,m,eu,1018743
benchmark,GBR,2045,m,native,30953740
benchmark,GBR,2045,m,non-eu,6720137
benchmark,GBR,2050,f,eu,938710
benchmark,GBR,2050,f,native,31796189
benchmark,GBR,2050,f,non-eu,9044931
benchmark,GBR,2050,m,eu,945270
benchmark,GBR,2050,m,native,31763466
benchmark,GBR,2050,m,non-eu,7914565
benchmark,GRC,2015,f,eu,194362
benchmark,GRC,2015,f,native,4917236
benchmark,GRC,2015,f,non-eu,451094
benchmark,GRC,2015,m,eu,123136
benchmark,GRC,2015,m,native,4697861
benchmark,GRC,2015,m,non-eu,417958
benchmark,GRC,2020,f,eu,191037
benchmark,GRC,2020,f,native,4821763
benchmark,GRC,2020,f,non-eu,487918
benchmark,GRC,2020,m,eu,127965
benchmark,GRC,2020,m,native,4599241
benchmark,GRC,2020,m,non-eu,455501
benchmark,GRC,2025,f,eu,184793
benchmark,GRC,2025,f,native,4713629
benchmark,GRC,2025,f,non-eu,517549
benchmark,GRC,2025,m,eu,129037
benchmark,GRC,2025,m,native,4481009
benchmark,GRC,2025,m,non-eu,482561
benchmark,GRC,2030,f,eu,176593
benchmark,GRC,2030,f,native,4599376
benchmark,GRC,2030,f,non-eu,546920
benchmark,GRC,2030,m,eu,127488
benchmark,GRC,2030,m,native,4367915
benchmark,GRC,2030,m,non-eu,508629
benchmark,GRC,2035,f,eu,167234
benchmark,GRC,2035,f,native,4491823
benchmark,GRC,2035,f,non-eu,577842
benchmark,GRC,2035,m,eu,124210
benchmark,GRC,2035,m,native,4266970
benchmark,GRC,2035,m,non-eu,536627
benchmark,GRC,2040,f,eu,156712
benchmark,GRC,2040,f,native,4394036
benchmark,GRC,2040,f,non-eu,609510
benchmark,GRC,2040,m,eu,119403
benchmark,GRC,2040,m,native,4177806
benchmark,GRC,2040,m,non-eu,565990
benchmark,GRC,2045,f,eu,145403
benchmark,GRC,2045,f,native,4302077
benchmark,GRC,2045,f,non-eu,643156
benchmark,GRC,2045,m,eu,113381
benchmark,GRC,2045,m,native,4096925
benchmark,GRC,2045,m,non-eu,597875
benchmark,GRC,2050,f,eu,133664
benchmark,GRC,2050,f,native,4210865
benchmark,GRC,2050,f,non-eu,679923
benchmark,GRC,2050,m,eu,106529
benchmark,GRC,2050,m,native,4019782
benchmark,GRC,2050,m,non-eu,633438
benchmark,HRV,2015,f,eu,36364
benchmark,HRV,2015,f,native,1881718
benchmark,HRV,2015,f,non-eu,245385
benchmark,HRV,2015,m,eu,28872
benchmark,HRV,2015,m,native,1775786
benchmark,HRV,2015,m,non-eu,210145
benchmark,HRV,2020,f,eu,35777
benchmark,HRV,2020,f,native,1825398
benchmark,HRV,2020,f,non-eu,254749
benchmark,HRV,2020,m,eu,29327
benchmark,HRV,2020,m,native,1721821
benchmark,HRV,2020,m,non-eu,219116
benchmark,HRV,2025,f,eu,34775
benchmark,HRV,2025,f,native,1762483
benchmark,HRV,2025,f,non-eu,253276
benchmark,HRV,2025,m,eu,29034
benchmark,HRV,2025,m,native,1668572
benchmark,HRV,2025,m,non-eu,219580
benchmark,HRV,2030,f,eu,33658
benchmark,HRV,2030,f,native,1707084
benchmark,HRV,2030,f,non-eu,251180
benchmark,HRV,2030,m,eu,28365
benchmark,HRV,2030,m,native,1618899
benchmark,HRV,2030,m,non-eu,220009
benchmark,HRV,2035,f,eu,32481
benchmark,HRV,2035,f,native,1654634
benchmark,HRV,2035,f,non-eu,248246
benchmark,HRV,2035,m,eu,27467
benchmark,HRV,2035,m,native,1569277
benchmark,HRV,2035,m,non-eu,220132
benchmark,HRV,2040,f,eu,31077
benchmark,HRV,2040,f,native,1603169
benchmark,HRV,2040,f,non-eu,245124
benchmark,HRV,2040,m,eu,26291
benchmark,HRV,2040,m,native,1519908
benchmark,HRV,2040,m,non-eu,220619
benchmark,HRV,2045,f,eu,29591
benchmark,HRV,2045,f,native,1552215
benchmark,HRV,2045,f,non-eu,242891
benchmark,HRV,2045,m,eu,25076
benchmark,HRV,2045,m,native,1472445
benchmark,HRV,2045,m,non-eu,222692
benchmark,HRV,2050,f,eu,27970
benchmark,HRV,2050,f,native,1502348
benchmark,HRV,2050,f,non-eu,242241
benchmark,HRV,2050,m,eu,23691
